timestamp,Open,High,Low,close_price,Adj Close,Volume
2010-09-09,102.5,102.5,101.13999938964844,101.31999969482422,77.72132873535156,26500
2010-09-10,101.68000030517578,101.86000061035156,101.30000305175781,101.77999877929688,78.07421875,8600
2010-09-13,102.95999908447266,103.13999938964844,102.5,103.05999755859375,79.05606079101562,33750
2010-09-14,102.83999633789062,103.4800033569336,102.37999725341797,103.04000091552734,79.04071807861328,59400
2010-09-15,102.62000274658203,103.37999725341797,102.4000015258789,103.30000305175781,79.24016571044922,9250
2010-09-16,103.0199966430664,103.31999969482422,102.69999694824219,103.26000213623047,79.20948028564453,59550
2010-09-17,103.87999725341797,103.87999725341797,103.0199966430664,103.36000061035156,79.28619384765625,49350
2010-09-20,103.73999786376953,105.04000091552734,103.45999908447266,105.04000091552734,80.57490539550781,19000
2010-09-21,105.0199966430664,105.44000244140625,104.27999877929688,104.72000122070312,80.32941436767578,19250
2010-09-22,104.55999755859375,105.04000091552734,103.95999908447266,104.16000366210938,79.89984893798828,18100
2010-09-23,103.31999969482422,104.33999633789062,103.12000274658203,103.30000305175781,79.24016571044922,33350
2010-09-24,103.94000244140625,104.9000015258789,103.86000061035156,104.83999633789062,80.85826873779297,24100
2010-09-27,104.9800033569336,104.9800033569336,104.33999633789062,104.33999633789062,80.47264862060547,15000
2010-09-28,104.31999969482422,105.0199966430664,103.41999816894531,105.0199966430664,80.9970703125,49850
2010-09-29,104.58000183105469,104.91999816894531,104.22000122070312,104.5199966430664,80.6114501953125,15900
2010-09-30,105.19999694824219,105.68000030517578,103.95999908447266,104.36000061035156,80.48809051513672,44750
2010-10-01,105.08000183105469,105.16000366210938,104.16000366210938,104.72000122070312,80.76569366455078,17100
2010-10-04,105.26000213623047,105.26000213623047,103.5,103.83999633789062,80.08702087402344,88700
2010-10-05,105.0199966430664,106.19999694824219,104.81999969482422,106.12000274658203,81.84547424316406,19850
2010-10-06,106.12000274658203,106.27999877929688,105.62000274658203,105.94000244140625,81.70667266845703,276900
2010-10-07,106.5,106.5,105.31999969482422,105.87999725341797,81.66038513183594,49900
2010-10-08,106.0199966430664,106.73999786376953,105.66000366210938,106.68000030517578,82.27737426757812,61550
2010-10-11,106.72000122070312,106.83999633789062,106.27999877929688,106.5,82.13856506347656,14200
2010-10-12,106.37999725341797,107.23999786376953,105.73999786376953,107.12000274658203,82.61673736572266,42050
2010-10-13,107.58000183105469,108.27999877929688,107.23999786376953,107.76000213623047,83.11031341552734,74450
2010-10-14,107.69999694824219,107.81999969482422,106.80000305175781,107.36000061035156,82.80181121826172,19100
2010-10-15,108.04000091552734,108.08000183105469,106.72000122070312,107.55999755859375,82.95608520507812,54950
2010-10-18,107.62000274658203,108.44000244140625,107.44000244140625,108.33999633789062,83.5576400756836,22850
2010-10-19,107.13999938964844,107.68000030517578,106.0199966430664,106.62000274658203,82.23108673095703,38550
2010-10-20,106.94000244140625,108.16000366210938,106.94000244140625,107.76000213623047,83.11031341552734,22800
2010-10-21,108.26000213623047,108.76000213623047,107.30000305175781,107.91999816894531,83.23372650146484,29400
2010-10-22,108.16000366210938,108.19999694824219,107.94000244140625,108.18000030517578,83.43427276611328,24850
2010-10-25,109.0199966430664,109.27999877929688,108.45999908447266,108.5,83.6810531616211,29600
2010-10-26,107.91999816894531,108.55999755859375,107.87999725341797,108.4800033569336,83.66563415527344,15000
2010-10-27,107.73999786376953,108.22000122070312,107.22000122070312,108.13999938964844,83.40340423583984,17150
2010-10-28,108.76000213623047,108.81999969482422,107.76000213623047,108.22000122070312,83.4651107788086,19250
2010-10-29,108.0999984741211,108.41999816894531,108.0,108.30000305175781,83.52680206298828,13400
2010-11-01,108.91999816894531,109.41999816894531,107.76000213623047,108.36000061035156,83.5730972290039,51550
2010-11-02,109.22000122070312,109.41999816894531,108.86000061035156,109.19999694824219,84.22090148925781,26100
2010-11-03,109.41999816894531,109.66000366210938,108.31999969482422,109.66000366210938,84.57569122314453,31850
2010-11-04,110.9000015258789,111.80000305175781,110.73999786376953,111.72000122070312,86.16451263427734,49000
